base_condition_key,best_healing_id,best_run_id,best_score
S=S5_A=A_F=F2_L=L1_seed=3,H0,747,-0.5
S=S5_A=A_F=F2_L=L1_seed=4,H0,779,-1.0
S=S5_A=A_F=F2_L=L2_seed=1,H0,691,-1.0
S=S5_A=A_F=F2_L=L2_seed=2,H0,723,-1.0
S=S5_A=A_F=F2_L=L2_seed=3,H0,755,-0.5
S=S5_A=A_F=F2_L=L2_seed=4,H0,787,-1.0
S=S5_A=A_F=F3_L=L1_seed=1,H0,685,-1.0
S=S5_A=A_F=F3_L=L1_seed=2,H0,717,-1.0
S=S5_A=A_F=F3_L=L1_seed=3,H0,749,-1.0
S=S5_A=A_F=F3_L=L1_seed=4,H0,781,-1.0
S=S5_A=A_F=F3_L=L2_seed=1,H0,693,-1.0
S=S5_A=A_F=F3_L=L2_seed=2,H0,725,-1.0
S=S5_A=A_F=F3_L=L2_seed=3,H0,757,-1.0
S=S5_A=A_F=F3_L=L2_seed=4,H0,789,-1.0
S=S5_A=A_F=F4_L=L1_seed=1,H4,688,0.0
S=S5_A=A_F=F4_L=L1_seed=2,H4,720,0.0
S=S5_A=A_F=F4_L=L1_seed=3,H4,752,0.5
S=S5_A=A_F=F4_L=L1_seed=4,H4,784,0.0
S=S5_A=A_F=F4_L=L2_seed=1,H4,696,0.0
S=S5_A=A_F=F4_L=L2_seed=2,H4,728,0.0
S=S5_A=A_F=F4_L=L2_seed=3,H4,760,0.5
S=S5_A=A_F=F4_L=L2_seed=4,H4,792,0.0
S=S5_A=B_F=F0_L=L1_seed=1,H0,139,-0.5
S=S5_A=B_F=F0_L=L1_seed=2,H0,143,-0.5
S=S5_A=B_F=F0_L=L1_seed=3,H0,147,-0.5
S=S5_A=B_F=F0_L=L1_seed=4,H0,151,-0.5
S=S5_A=B_F=F0_L=L2_seed=1,H0,140,-0.5
S=S5_A=B_F=F0_L=L2_seed=2,H0,144,-0.5
S=S5_A=B_F=F0_L=L2_seed=3,H0,148,-0.5
S=S5_A=B_F=F0_L=L2_seed=4,H0,152,-0.5
S=S5_A=B_F=F1_L=L1_seed=1,H0,697,-1.0
S=S5_A=B_F=F1_L=L1_seed=2,H0,729,-1.0
S=S5_A=B_F=F1_L=L1_seed=3,H0,761,-1.0
S=S5_A=B_F=F1_L=L1_seed=4,H0,793,-1.0
S=S5_A=B_F=F1_L=L2_seed=1,H0,705,-1.0
S=S5_A=B_F=F1_L=L2_seed=2,H0,737,-1.0
S=S5_A=B_F=F1_L=L2_seed=3,H0,769,-1.0
S=S5_A=B_F=F1_L=L2_seed=4,H0,801,-1.0
S=S5_A=B_F=F2_L=L1_seed=1,H0,699,-1.0
S=S5_A=B_F=F2_L=L1_seed=2,H0,731,-1.0
S=S5_A=B_F=F2_L=L1_seed=3,H0,763,-0.5
S=S5_A=B_F=F2_L=L1_seed=4,H0,795,-1.0
S=S5_A=B_F=F2_L=L2_seed=1,H0,707,-1.0
S=S5_A=B_F=F2_L=L2_seed=2,H0,739,-1.0
S=S5_A=B_F=F2_L=L2_seed=3,H0,771,-0.5
S=S5_A=B_F=F2_L=L2_seed=4,H0,803,-1.0
S=S5_A=B_F=F3_L=L1_seed=1,H0,701,-1.0
S=S5_A=B_F=F3_L=L1_seed=2,H0,733,-1.0
S=S5_A=B_F=F3_L=L1_seed=3,H0,765,-1.0
S=S5_A=B_F=F3_L=L1_seed=4,H0,797,-1.0
S=S5_A=B_F=F3_L=L2_seed=1,H0,709,-1.0
S=S5_A=B_F=F3_L=L2_seed=2,H0,741,-1.0
S=S5_A=B_F=F3_L=L2_seed=3,H0,773,-1.0
S=S5_A=B_F=F3_L=L2_seed=4,H0,805,-1.0
S=S5_A=B_F=F4_L=L1_seed=1,H4,704,0.0
S=S5_A=B_F=F4_L=L1_seed=2,H4,736,0.0
S=S5_A=B_F=F4_L=L1_seed=3,H4,768,0.5
S=S5_A=B_F=F4_L=L1_seed=4,H4,800,0.0
S=S5_A=B_F=F4_L=L2_seed=1,H4,712,0.0
S=S5_A=B_F=F4_L=L2_seed=2,H4,744,0.0
S=S5_A=B_F=F4_L=L2_seed=3,H4,776,0.5
S=S5_A=B_F=F4_L=L2_seed=4,H4,808,0.0
S=S6_A=A_F=F0_L=L1_seed=1,H0,153,-0.5
S=S6_A=A_F=F0_L=L1_seed=2,H0,157,-0.5
S=S6_A=A_F=F0_L=L1_seed=3,H0,161,-0.5
S=S6_A=A_F=F0_L=L1_seed=4,H0,165,-0.5
S=S6_A=A_F=F0_L=L2_seed=1,H0,154,-0.5
S=S6_A=A_F=F0_L=L2_seed=2,H0,158,-0.5
S=S6_A=A_F=F0_L=L2_seed=3,H0,162,-0.5
S=S6_A=A_F=F0_L=L2_seed=4,H0,166,-0.5
S=S6_A=A_F=F1_L=L1_seed=1,H0,809,-1.0
S=S6_A=A_F=F1_L=L1_seed=2,H0,841,-1.0
S=S6_A=A_F=F1_L=L1_seed=3,H0,873,-1.0
S=S6_A=A_F=F1_L=L1_seed=4,H0,905,-0.5
S=S6_A=A_F=F1_L=L2_seed=1,H0,817,-1.0
S=S6_A=A_F=F1_L=L2_seed=2,H0,849,-1.0
S=S6_A=A_F=F1_L=L2_seed=3,H0,881,-1.0
S=S6_A=A_F=F1_L=L2_seed=4,H0,913,-0.5
S=S6_A=A_F=F2_L=L1_seed=1,H0,811,-1.0
S=S6_A=A_F=F2_L=L1_seed=2,H0,843,-1.0
S=S6_A=A_F=F2_L=L1_seed=3,H0,875,-1.0
S=S6_A=A_F=F2_L=L1_seed=4,H0,907,-1.0
S=S6_A=A_F=F2_L=L2_seed=1,H0,819,-1.0
S=S6_A=A_F=F2_L=L2_seed=2,H0,851,-1.0
S=S6_A=A_F=F2_L=L2_seed=3,H0,883,-1.0
S=S6_A=A_F=F2_L=L2_seed=4,H0,915,-1.0
S=S6_A=A_F=F3_L=L1_seed=1,H0,813,-1.0
S=S6_A=A_F=F3_L=L1_seed=2,H0,845,-1.0
S=S6_A=A_F=F3_L=L1_seed=3,H0,877,-1.0
S=S6_A=A_F=F3_L=L1_seed=4,H0,909,-1.0
S=S6_A=A_F=F3_L=L2_seed=1,H0,821,-1.0
S=S6_A=A_F=F3_L=L2_seed=2,H0,853,-1.0
S=S6_A=A_F=F3_L=L2_seed=3,H0,885,-1.0
S=S6_A=A_F=F3_L=L2_seed=4,H0,917,-1.0
S=S6_A=A_F=F4_L=L1_seed=1,H4,816,0.0
S=S6_A=A_F=F4_L=L1_seed=2,H4,848,0.0
S=S6_A=A_F=F4_L=L1_seed=3,H4,880,0.0
S=S6_A=A_F=F4_L=L1_seed=4,H4,912,0.0
S=S6_A=A_F=F4_L=L2_seed=1,H4,824,0.0
S=S6_A=A_F=F4_L=L2_seed=2,H4,856,0.0
S=S6_A=A_F=F4_L=L2_seed=3,H4,888,0.0
S=S6_A=A_F=F4_L=L2_seed=4,H4,920,0.0
S=S6_A=B_F=F0_L=L1_seed=1,H0,155,-0.5
S=S6_A=B_F=F0_L=L1_seed=2,H0,159,-0.5
S=S6_A=B_F=F0_L=L1_seed=3,H0,163,-0.5
S=S6_A=B_F=F0_L=L1_seed=4,H0,167,-0.5
S=S6_A=B_F=F0_L=L2_seed=1,H0,156,-0.5
S=S6_A=B_F=F0_L=L2_seed=2,H0,160,-0.5
S=S6_A=B_F=F0_L=L2_seed=3,H0,164,-0.5
S=S6_A=B_F=F0_L=L2_seed=4,H0,168,-0.5
S=S6_A=B_F=F1_L=L1_seed=1,H0,825,-1.0
S=S6_A=B_F=F1_L=L1_seed=2,H0,857,-1.0
S=S6_A=B_F=F1_L=L1_seed=3,H0,889,-1.0
S=S6_A=B_F=F1_L=L1_seed=4,H0,921,-0.5
S=S6_A=B_F=F1_L=L2_seed=1,H0,833,-1.0
S=S6_A=B_F=F1_L=L2_seed=2,H0,865,-1.0
S=S6_A=B_F=F1_L=L2_seed=3,H0,897,-1.0
S=S6_A=B_F=F1_L=L2_seed=4,H0,929,-0.5
S=S6_A=B_F=F2_L=L1_seed=1,H0,827,-1.0
S=S6_A=B_F=F2_L=L1_seed=2,H0,859,-1.0
S=S6_A=B_F=F2_L=L1_seed=3,H0,891,-1.0
S=S6_A=B_F=F2_L=L1_seed=4,H0,923,-1.0
S=S6_A=B_F=F2_L=L2_seed=1,H0,835,-1.0
S=S6_A=B_F=F2_L=L2_seed=2,H0,867,-1.0
S=S6_A=B_F=F2_L=L2_seed=3,H0,899,-1.0
S=S6_A=B_F=F2_L=L2_seed=4,H0,931,-1.0
S=S6_A=B_F=F3_L=L1_seed=1,H0,829,-1.0
S=S6_A=B_F=F3_L=L1_seed=2,H0,861,-1.0
S=S6_A=B_F=F3_L=L1_seed=3,H0,893,-1.0
S=S6_A=B_F=F3_L=L1_seed=4,H0,925,-1.0
S=S6_A=B_F=F3_L=L2_seed=1,H0,837,-1.0
S=S6_A=B_F=F3_L=L2_seed=2,H0,869,-1.0
S=S6_A=B_F=F3_L=L2_seed=3,H0,901,-1.0
S=S6_A=B_F=F3_L=L2_seed=4,H0,933,-1.0
S=S6_A=B_F=F4_L=L1_seed=1,H4,832,0.0
S=S6_A=B_F=F4_L=L1_seed=2,H4,864,0.0
S=S6_A=B_F=F4_L=L1_seed=3,H4,896,0.0
S=S6_A=B_F=F4_L=L1_seed=4,H4,928,0.0
S=S6_A=B_F=F4_L=L2_seed=1,H4,840,0.0
S=S6_A=B_F=F4_L=L2_seed=2,H4,872,0.0
S=S6_A=B_F=F4_L=L2_seed=3,H4,904,0.0
S=S6_A=B_F=F4_L=L2_seed=4,H4,936,0.0
S=S7_A=A_F=F0_L=L1_seed=1,H0,937,-0.5
S=S7_A=A_F=F0_L=L2_seed=1,H0,938,-0.5
S=S7_A=A_F=F1_L=L1_seed=1,H1,941,0
S=S7_A=A_F=F1_L=L2_seed=1,H1,942,0
S=S7_A=A_F=F4_L=L1_seed=1,H4,945,0
S=S7_A=A_F=F4_L=L2_seed=1,H4,946,0
S=S7_A=B_F=F0_L=L1_seed=1,H0,939,-0.5
S=S7_A=B_F=F0_L=L2_seed=1,H0,940,-0.5
S=S7_A=B_F=F1_L=L1_seed=1,H1,943,0
S=S7_A=B_F=F1_L=L2_seed=1,H1,944,0
S=S7_A=B_F=F4_L=L1_seed=1,H4,947,0
S=S7_A=B_F=F4_L=L2_seed=1,H4,948,0
S=S8_A=A_F=F0_L=L1_seed=1,H0,951,-0.5
S=S8_A=A_F=F0_L=L2_seed=1,H0,952,-0.5
S=S8_A=A_F=F1_L=L1_seed=1,H0,995,-1.0
S=S8_A=A_F=F1_L=L1_seed=2,H0,996,-1.0
S=S8_A=A_F=F1_L=L2_seed=1,H0,997,-1.0
S=S8_A=A_F=F1_L=L2_seed=2,H0,998,-1.0
S=S8_A=A_F=F2_L=L1_seed=1,H0,1003,-1.0
S=S8_A=A_F=F2_L=L1_seed=2,H0,1004,-1.0
S=S8_A=A_F=F2_L=L2_seed=1,H0,1005,-1.0
S=S8_A=A_F=F2_L=L2_seed=2,H0,1006,-1.0
S=S8_A=A_F=F3_L=L1_seed=1,H0,1011,-1.0
S=S8_A=A_F=F3_L=L1_seed=2,H0,1012,-1.0
S=S8_A=A_F=F3_L=L2_seed=1,H0,1013,-1.0
S=S8_A=A_F=F3_L=L2_seed=2,H0,1014,-1.0
S=S8_A=A_F=F4_L=L1_seed=1,H4,959,0.0
S=S8_A=A_F=F4_L=L1_seed=2,H4,991,0.0
S=S8_A=A_F=F4_L=L2_seed=1,H4,960,0.0
S=S8_A=A_F=F4_L=L2_seed=2,H4,992,0.0
S=S8_A=B_F=F0_L=L1_seed=1,H0,953,-0.5
S=S8_A=B_F=F0_L=L2_seed=1,H0,954,-0.5
S=S8_A=B_F=F1_L=L1_seed=1,H0,999,-1.0
S=S8_A=B_F=F1_L=L1_seed=2,H0,1000,-1.0
S=S8_A=B_F=F1_L=L2_seed=1,H0,1001,-1.0
S=S8_A=B_F=F1_L=L2_seed=2,H0,1002,-1.0
S=S8_A=B_F=F2_L=L1_seed=1,H0,1007,-1.0
S=S8_A=B_F=F2_L=L1_seed=2,H0,1008,-1.0
S=S8_A=B_F=F2_L=L2_seed=1,H0,1009,-1.0
S=S8_A=B_F=F2_L=L2_seed=2,H0,1010,-1.0
S=S8_A=B_F=F3_L=L1_seed=1,H0,1015,-1.0
S=S8_A=B_F=F3_L=L1_seed=2,H0,1016,-1.0
S=S8_A=B_F=F3_L=L2_seed=1,H0,1017,-1.0
S=S8_A=B_F=F3_L=L2_seed=2,H0,1018,-1.0
S=S8_A=B_F=F4_L=L1_seed=1,H4,961,0.0
S=S8_A=B_F=F4_L=L1_seed=2,H4,993,0.0
S=S8_A=B_F=F4_L=L2_seed=1,H4,962,0.0
S=S8_A=B_F=F4_L=L2_seed=2,H4,994,0.0
S=S9_A=A_F=F0_L=L1_seed=1,H0,1027,-0.5
S=S9_A=A_F=F0_L=L2_seed=1,H0,1029,-0.5
S=S9_A=A_F=F1_L=L1_seed=1,H0,1064,-0.5
S=S9_A=A_F=F1_L=L1_seed=2,H0,1065,-0.5
S=S9_A=A_F=F1_L=L2_seed=1,H0,1066,-0.5
S=S9_A=A_F=F1_L=L2_seed=2,H0,1067,-0.5
S=S9_A=A_F=F2_L=L1_seed=1,H0,1072,-0.5
S=S9_A=A_F=F2_L=L1_seed=2,H0,1073,-0.5
S=S9_A=A_F=F2_L=L2_seed=1,H0,1074,-0.5
S=S9_A=A_F=F2_L=L2_seed=2,H0,1075,-0.5
S=S9_A=A_F=F3_L=L1_seed=1,H0,1080,-1.0
S=S9_A=A_F=F3_L=L1_seed=2,H0,1081,-1.0
S=S9_A=A_F=F3_L=L2_seed=1,H0,1082,-1.0
S=S9_A=A_F=F3_L=L2_seed=2,H0,1083,-1.0
S=S9_A=A_F=F4_L=L1_seed=1,H4,1036,0.5
S=S9_A=A_F=F4_L=L1_seed=2,H4,1060,0.5
S=S9_A=A_F=F4_L=L2_seed=1,H4,1037,0.5
S=S9_A=A_F=F4_L=L2_seed=2,H4,1061,0.5
S=S9_A=B_F=F0_L=L1_seed=1,H0,1030,-0.5
S=S9_A=B_F=F0_L=L2_seed=1,H0,1031,-0.5
S=S9_A=B_F=F1_L=L1_seed=1,H0,1068,-0.5
S=S9_A=B_F=F1_L=L1_seed=2,H0,1069,-0.5
S=S9_A=B_F=F1_L=L2_seed=1,H0,1070,-0.5
S=S9_A=B_F=F1_L=L2_seed=2,H0,1071,-0.5
S=S9_A=B_F=F2_L=L1_seed=1,H0,1076,-0.5
S=S9_A=B_F=F2_L=L1_seed=2,H0,1077,-0.5
S=S9_A=B_F=F2_L=L2_seed=1,H0,1078,-0.5
S=S9_A=B_F=F2_L=L2_seed=2,H0,1079,-0.5
S=S9_A=B_F=F3_L=L1_seed=1,H0,1084,-1.0
S=S9_A=B_F=F3_L=L1_seed=2,H0,1085,-1.0
S=S9_A=B_F=F3_L=L2_seed=1,H0,1086,-1.0
S=S9_A=B_F=F3_L=L2_seed=2,H0,1087,-1.0
S=S9_A=B_F=F4_L=L1_seed=1,H4,1038,0.5
S=S9_A=B_F=F4_L=L1_seed=2,H4,1062,0.5
S=S9_A=B_F=F4_L=L2_seed=1,H4,1039,0.5
S=S9_A=B_F=F4_L=L2_seed=2,H4,1063,0.5
