base_condition_key,scale,architecture,failure_family,load,seed,candidate_healing_count,healing_methods
S=S3_A=B_F=F3_L=L2_seed=3,S3,B,F3,L2,3,2,"H0,H3"
S=S3_A=B_F=F3_L=L2_seed=4,S3,B,F3,L2,4,2,"H0,H3"
S=S3_A=B_F=F4_L=L1_seed=1,S3,B,F4,L1,1,2,"H0,H4"
S=S3_A=B_F=F4_L=L1_seed=2,S3,B,F4,L1,2,2,"H0,H4"
S=S3_A=B_F=F4_L=L1_seed=3,S3,B,F4,L1,3,2,"H0,H4"
S=S3_A=B_F=F4_L=L1_seed=4,S3,B,F4,L1,4,2,"H0,H4"
S=S3_A=B_F=F4_L=L2_seed=1,S3,B,F4,L2,1,2,"H0,H4"
S=S3_A=B_F=F4_L=L2_seed=2,S3,B,F4,L2,2,2,"H0,H4"
S=S3_A=B_F=F4_L=L2_seed=3,S3,B,F4,L2,3,2,"H0,H4"
S=S3_A=B_F=F4_L=L2_seed=4,S3,B,F4,L2,4,2,"H0,H4"
S=S4_A=A_F=F0_L=L1_seed=1,S4,A,F0,L1,1,1,H0
S=S4_A=A_F=F0_L=L1_seed=2,S4,A,F0,L1,2,1,H0
S=S4_A=A_F=F0_L=L1_seed=3,S4,A,F0,L1,3,1,H0
S=S4_A=A_F=F0_L=L1_seed=4,S4,A,F0,L1,4,1,H0
S=S4_A=A_F=F0_L=L2_seed=1,S4,A,F0,L2,1,1,H0
S=S4_A=A_F=F0_L=L2_seed=2,S4,A,F0,L2,2,1,H0
S=S4_A=A_F=F0_L=L2_seed=3,S4,A,F0,L2,3,1,H0
S=S4_A=A_F=F0_L=L2_seed=4,S4,A,F0,L2,4,1,H0
S=S4_A=A_F=F1_L=L1_seed=1,S4,A,F1,L1,1,2,"H0,H1"
S=S4_A=A_F=F1_L=L1_seed=2,S4,A,F1,L1,2,2,"H0,H1"
S=S4_A=A_F=F1_L=L1_seed=3,S4,A,F1,L1,3,2,"H0,H1"
S=S4_A=A_F=F1_L=L1_seed=4,S4,A,F1,L1,4,2,"H0,H1"
S=S4_A=A_F=F1_L=L2_seed=1,S4,A,F1,L2,1,2,"H0,H1"
S=S4_A=A_F=F1_L=L2_seed=2,S4,A,F1,L2,2,2,"H0,H1"
S=S4_A=A_F=F1_L=L2_seed=3,S4,A,F1,L2,3,2,"H0,H1"
S=S4_A=A_F=F1_L=L2_seed=4,S4,A,F1,L2,4,2,"H0,H1"
S=S4_A=A_F=F2_L=L1_seed=1,S4,A,F2,L1,1,2,"H0,H2"
S=S4_A=A_F=F2_L=L1_seed=2,S4,A,F2,L1,2,2,"H0,H2"
S=S4_A=A_F=F2_L=L1_seed=3,S4,A,F2,L1,3,2,"H0,H2"
S=S4_A=A_F=F2_L=L1_seed=4,S4,A,F2,L1,4,2,"H0,H2"
S=S4_A=A_F=F2_L=L2_seed=1,S4,A,F2,L2,1,2,"H0,H2"
S=S4_A=A_F=F2_L=L2_seed=2,S4,A,F2,L2,2,2,"H0,H2"
S=S4_A=A_F=F2_L=L2_seed=3,S4,A,F2,L2,3,2,"H0,H2"
S=S4_A=A_F=F2_L=L2_seed=4,S4,A,F2,L2,4,2,"H0,H2"
S=S4_A=A_F=F3_L=L1_seed=1,S4,A,F3,L1,1,2,"H0,H3"
S=S4_A=A_F=F3_L=L1_seed=2,S4,A,F3,L1,2,2,"H0,H3"
S=S4_A=A_F=F3_L=L1_seed=3,S4,A,F3,L1,3,2,"H0,H3"
S=S4_A=A_F=F3_L=L1_seed=4,S4,A,F3,L1,4,2,"H0,H3"
S=S4_A=A_F=F3_L=L2_seed=1,S4,A,F3,L2,1,2,"H0,H3"
S=S4_A=A_F=F3_L=L2_seed=2,S4,A,F3,L2,2,2,"H0,H3"
S=S4_A=A_F=F3_L=L2_seed=3,S4,A,F3,L2,3,2,"H0,H3"
S=S4_A=A_F=F3_L=L2_seed=4,S4,A,F3,L2,4,2,"H0,H3"
S=S4_A=A_F=F4_L=L1_seed=1,S4,A,F4,L1,1,2,"H0,H4"
S=S4_A=A_F=F4_L=L1_seed=2,S4,A,F4,L1,2,2,"H0,H4"
S=S4_A=A_F=F4_L=L1_seed=3,S4,A,F4,L1,3,2,"H0,H4"
S=S4_A=A_F=F4_L=L1_seed=4,S4,A,F4,L1,4,2,"H0,H4"
S=S4_A=A_F=F4_L=L2_seed=1,S4,A,F4,L2,1,2,"H0,H4"
S=S4_A=A_F=F4_L=L2_seed=2,S4,A,F4,L2,2,2,"H0,H4"
S=S4_A=A_F=F4_L=L2_seed=3,S4,A,F4,L2,3,2,"H0,H4"
S=S4_A=A_F=F4_L=L2_seed=4,S4,A,F4,L2,4,2,"H0,H4"
S=S4_A=B_F=F0_L=L1_seed=1,S4,B,F0,L1,1,1,H0
S=S4_A=B_F=F0_L=L1_seed=2,S4,B,F0,L1,2,1,H0
S=S4_A=B_F=F0_L=L1_seed=3,S4,B,F0,L1,3,1,H0
S=S4_A=B_F=F0_L=L1_seed=4,S4,B,F0,L1,4,1,H0
S=S4_A=B_F=F0_L=L2_seed=1,S4,B,F0,L2,1,1,H0
S=S4_A=B_F=F0_L=L2_seed=2,S4,B,F0,L2,2,1,H0
S=S4_A=B_F=F0_L=L2_seed=3,S4,B,F0,L2,3,1,H0
S=S4_A=B_F=F0_L=L2_seed=4,S4,B,F0,L2,4,1,H0
S=S4_A=B_F=F1_L=L1_seed=1,S4,B,F1,L1,1,2,"H0,H1"
S=S4_A=B_F=F1_L=L1_seed=2,S4,B,F1,L1,2,2,"H0,H1"
S=S4_A=B_F=F1_L=L1_seed=3,S4,B,F1,L1,3,2,"H0,H1"
S=S4_A=B_F=F1_L=L1_seed=4,S4,B,F1,L1,4,2,"H0,H1"
S=S4_A=B_F=F1_L=L2_seed=1,S4,B,F1,L2,1,2,"H0,H1"
S=S4_A=B_F=F1_L=L2_seed=2,S4,B,F1,L2,2,2,"H0,H1"
S=S4_A=B_F=F1_L=L2_seed=3,S4,B,F1,L2,3,2,"H0,H1"
S=S4_A=B_F=F1_L=L2_seed=4,S4,B,F1,L2,4,2,"H0,H1"
S=S4_A=B_F=F2_L=L1_seed=1,S4,B,F2,L1,1,2,"H0,H2"
S=S4_A=B_F=F2_L=L1_seed=2,S4,B,F2,L1,2,2,"H0,H2"
S=S4_A=B_F=F2_L=L1_seed=3,S4,B,F2,L1,3,2,"H0,H2"
S=S4_A=B_F=F2_L=L1_seed=4,S4,B,F2,L1,4,2,"H0,H2"
S=S4_A=B_F=F2_L=L2_seed=1,S4,B,F2,L2,1,2,"H0,H2"
S=S4_A=B_F=F2_L=L2_seed=2,S4,B,F2,L2,2,2,"H0,H2"
S=S4_A=B_F=F2_L=L2_seed=3,S4,B,F2,L2,3,2,"H0,H2"
S=S4_A=B_F=F2_L=L2_seed=4,S4,B,F2,L2,4,2,"H0,H2"
S=S4_A=B_F=F3_L=L1_seed=1,S4,B,F3,L1,1,2,"H0,H3"
S=S4_A=B_F=F3_L=L1_seed=2,S4,B,F3,L1,2,2,"H0,H3"
S=S4_A=B_F=F3_L=L1_seed=3,S4,B,F3,L1,3,2,"H0,H3"
S=S4_A=B_F=F3_L=L1_seed=4,S4,B,F3,L1,4,2,"H0,H3"
S=S4_A=B_F=F3_L=L2_seed=1,S4,B,F3,L2,1,2,"H0,H3"
S=S4_A=B_F=F3_L=L2_seed=2,S4,B,F3,L2,2,2,"H0,H3"
S=S4_A=B_F=F3_L=L2_seed=3,S4,B,F3,L2,3,2,"H0,H3"
S=S4_A=B_F=F3_L=L2_seed=4,S4,B,F3,L2,4,2,"H0,H3"
S=S4_A=B_F=F4_L=L1_seed=1,S4,B,F4,L1,1,2,"H0,H4"
S=S4_A=B_F=F4_L=L1_seed=2,S4,B,F4,L1,2,2,"H0,H4"
S=S4_A=B_F=F4_L=L1_seed=3,S4,B,F4,L1,3,2,"H0,H4"
S=S4_A=B_F=F4_L=L1_seed=4,S4,B,F4,L1,4,2,"H0,H4"
S=S4_A=B_F=F4_L=L2_seed=1,S4,B,F4,L2,1,2,"H0,H4"
S=S4_A=B_F=F4_L=L2_seed=2,S4,B,F4,L2,2,2,"H0,H4"
S=S4_A=B_F=F4_L=L2_seed=3,S4,B,F4,L2,3,2,"H0,H4"
S=S4_A=B_F=F4_L=L2_seed=4,S4,B,F4,L2,4,2,"H0,H4"
S=S5_A=A_F=F0_L=L1_seed=1,S5,A,F0,L1,1,1,H0
S=S5_A=A_F=F0_L=L1_seed=2,S5,A,F0,L1,2,1,H0
S=S5_A=A_F=F0_L=L1_seed=3,S5,A,F0,L1,3,1,H0
S=S5_A=A_F=F0_L=L1_seed=4,S5,A,F0,L1,4,1,H0
S=S5_A=A_F=F0_L=L2_seed=1,S5,A,F0,L2,1,1,H0
S=S5_A=A_F=F0_L=L2_seed=2,S5,A,F0,L2,2,1,H0
S=S5_A=A_F=F0_L=L2_seed=3,S5,A,F0,L2,3,1,H0
S=S5_A=A_F=F0_L=L2_seed=4,S5,A,F0,L2,4,1,H0
S=S5_A=A_F=F1_L=L1_seed=1,S5,A,F1,L1,1,2,"H0,H1"
S=S5_A=A_F=F1_L=L1_seed=2,S5,A,F1,L1,2,2,"H0,H1"
S=S5_A=A_F=F1_L=L1_seed=3,S5,A,F1,L1,3,2,"H0,H1"
S=S5_A=A_F=F1_L=L1_seed=4,S5,A,F1,L1,4,2,"H0,H1"
S=S5_A=A_F=F1_L=L2_seed=1,S5,A,F1,L2,1,2,"H0,H1"
S=S5_A=A_F=F1_L=L2_seed=2,S5,A,F1,L2,2,2,"H0,H1"
S=S5_A=A_F=F1_L=L2_seed=3,S5,A,F1,L2,3,2,"H0,H1"
S=S5_A=A_F=F1_L=L2_seed=4,S5,A,F1,L2,4,2,"H0,H1"
S=S5_A=A_F=F2_L=L1_seed=1,S5,A,F2,L1,1,2,"H0,H2"
S=S5_A=A_F=F2_L=L1_seed=2,S5,A,F2,L1,2,2,"H0,H2"
S=S5_A=A_F=F2_L=L1_seed=3,S5,A,F2,L1,3,2,"H0,H2"
S=S5_A=A_F=F2_L=L1_seed=4,S5,A,F2,L1,4,2,"H0,H2"
S=S5_A=A_F=F2_L=L2_seed=1,S5,A,F2,L2,1,2,"H0,H2"
S=S5_A=A_F=F2_L=L2_seed=2,S5,A,F2,L2,2,2,"H0,H2"
S=S5_A=A_F=F2_L=L2_seed=3,S5,A,F2,L2,3,2,"H0,H2"
S=S5_A=A_F=F2_L=L2_seed=4,S5,A,F2,L2,4,2,"H0,H2"
S=S5_A=A_F=F3_L=L1_seed=1,S5,A,F3,L1,1,2,"H0,H3"
S=S5_A=A_F=F3_L=L1_seed=2,S5,A,F3,L1,2,2,"H0,H3"
S=S5_A=A_F=F3_L=L1_seed=3,S5,A,F3,L1,3,2,"H0,H3"
S=S5_A=A_F=F3_L=L1_seed=4,S5,A,F3,L1,4,2,"H0,H3"
S=S5_A=A_F=F3_L=L2_seed=1,S5,A,F3,L2,1,2,"H0,H3"
S=S5_A=A_F=F3_L=L2_seed=2,S5,A,F3,L2,2,2,"H0,H3"
S=S5_A=A_F=F3_L=L2_seed=3,S5,A,F3,L2,3,2,"H0,H3"
S=S5_A=A_F=F3_L=L2_seed=4,S5,A,F3,L2,4,2,"H0,H3"
S=S5_A=A_F=F4_L=L1_seed=1,S5,A,F4,L1,1,2,"H0,H4"
S=S5_A=A_F=F4_L=L1_seed=2,S5,A,F4,L1,2,2,"H0,H4"
S=S5_A=A_F=F4_L=L1_seed=3,S5,A,F4,L1,3,2,"H0,H4"
S=S5_A=A_F=F4_L=L1_seed=4,S5,A,F4,L1,4,2,"H0,H4"
S=S5_A=A_F=F4_L=L2_seed=1,S5,A,F4,L2,1,2,"H0,H4"
S=S5_A=A_F=F4_L=L2_seed=2,S5,A,F4,L2,2,2,"H0,H4"
S=S5_A=A_F=F4_L=L2_seed=3,S5,A,F4,L2,3,2,"H0,H4"
S=S5_A=A_F=F4_L=L2_seed=4,S5,A,F4,L2,4,2,"H0,H4"
S=S5_A=B_F=F0_L=L1_seed=1,S5,B,F0,L1,1,1,H0
S=S5_A=B_F=F0_L=L1_seed=2,S5,B,F0,L1,2,1,H0
S=S5_A=B_F=F0_L=L1_seed=3,S5,B,F0,L1,3,1,H0
S=S5_A=B_F=F0_L=L1_seed=4,S5,B,F0,L1,4,1,H0
S=S5_A=B_F=F0_L=L2_seed=1,S5,B,F0,L2,1,1,H0
S=S5_A=B_F=F0_L=L2_seed=2,S5,B,F0,L2,2,1,H0
S=S5_A=B_F=F0_L=L2_seed=3,S5,B,F0,L2,3,1,H0
S=S5_A=B_F=F0_L=L2_seed=4,S5,B,F0,L2,4,1,H0
S=S5_A=B_F=F1_L=L1_seed=1,S5,B,F1,L1,1,2,"H0,H1"
S=S5_A=B_F=F1_L=L1_seed=2,S5,B,F1,L1,2,2,"H0,H1"
S=S5_A=B_F=F1_L=L1_seed=3,S5,B,F1,L1,3,2,"H0,H1"
S=S5_A=B_F=F1_L=L1_seed=4,S5,B,F1,L1,4,2,"H0,H1"
S=S5_A=B_F=F1_L=L2_seed=1,S5,B,F1,L2,1,2,"H0,H1"
S=S5_A=B_F=F1_L=L2_seed=2,S5,B,F1,L2,2,2,"H0,H1"
S=S5_A=B_F=F1_L=L2_seed=3,S5,B,F1,L2,3,2,"H0,H1"
S=S5_A=B_F=F1_L=L2_seed=4,S5,B,F1,L2,4,2,"H0,H1"
S=S5_A=B_F=F2_L=L1_seed=1,S5,B,F2,L1,1,2,"H0,H2"
S=S5_A=B_F=F2_L=L1_seed=2,S5,B,F2,L1,2,2,"H0,H2"
S=S5_A=B_F=F2_L=L1_seed=3,S5,B,F2,L1,3,2,"H0,H2"
S=S5_A=B_F=F2_L=L1_seed=4,S5,B,F2,L1,4,2,"H0,H2"
S=S5_A=B_F=F2_L=L2_seed=1,S5,B,F2,L2,1,2,"H0,H2"
S=S5_A=B_F=F2_L=L2_seed=2,S5,B,F2,L2,2,2,"H0,H2"
S=S5_A=B_F=F2_L=L2_seed=3,S5,B,F2,L2,3,2,"H0,H2"
S=S5_A=B_F=F2_L=L2_seed=4,S5,B,F2,L2,4,2,"H0,H2"
S=S5_A=B_F=F3_L=L1_seed=1,S5,B,F3,L1,1,2,"H0,H3"
S=S5_A=B_F=F3_L=L1_seed=2,S5,B,F3,L1,2,2,"H0,H3"
S=S5_A=B_F=F3_L=L1_seed=3,S5,B,F3,L1,3,2,"H0,H3"
S=S5_A=B_F=F3_L=L1_seed=4,S5,B,F3,L1,4,2,"H0,H3"
S=S5_A=B_F=F3_L=L2_seed=1,S5,B,F3,L2,1,2,"H0,H3"
S=S5_A=B_F=F3_L=L2_seed=2,S5,B,F3,L2,2,2,"H0,H3"
S=S5_A=B_F=F3_L=L2_seed=3,S5,B,F3,L2,3,2,"H0,H3"
S=S5_A=B_F=F3_L=L2_seed=4,S5,B,F3,L2,4,2,"H0,H3"
S=S5_A=B_F=F4_L=L1_seed=1,S5,B,F4,L1,1,2,"H0,H4"
S=S5_A=B_F=F4_L=L1_seed=2,S5,B,F4,L1,2,2,"H0,H4"
S=S5_A=B_F=F4_L=L1_seed=3,S5,B,F4,L1,3,2,"H0,H4"
S=S5_A=B_F=F4_L=L1_seed=4,S5,B,F4,L1,4,2,"H0,H4"
S=S5_A=B_F=F4_L=L2_seed=1,S5,B,F4,L2,1,2,"H0,H4"
S=S5_A=B_F=F4_L=L2_seed=2,S5,B,F4,L2,2,2,"H0,H4"
S=S5_A=B_F=F4_L=L2_seed=3,S5,B,F4,L2,3,2,"H0,H4"
S=S5_A=B_F=F4_L=L2_seed=4,S5,B,F4,L2,4,2,"H0,H4"
S=S6_A=A_F=F0_L=L1_seed=1,S6,A,F0,L1,1,1,H0
S=S6_A=A_F=F0_L=L1_seed=2,S6,A,F0,L1,2,1,H0
S=S6_A=A_F=F0_L=L1_seed=3,S6,A,F0,L1,3,1,H0
S=S6_A=A_F=F0_L=L1_seed=4,S6,A,F0,L1,4,1,H0
S=S6_A=A_F=F0_L=L2_seed=1,S6,A,F0,L2,1,1,H0
S=S6_A=A_F=F0_L=L2_seed=2,S6,A,F0,L2,2,1,H0
S=S6_A=A_F=F0_L=L2_seed=3,S6,A,F0,L2,3,1,H0
S=S6_A=A_F=F0_L=L2_seed=4,S6,A,F0,L2,4,1,H0
S=S6_A=A_F=F1_L=L1_seed=1,S6,A,F1,L1,1,2,"H0,H1"
S=S6_A=A_F=F1_L=L1_seed=2,S6,A,F1,L1,2,2,"H0,H1"
S=S6_A=A_F=F1_L=L1_seed=3,S6,A,F1,L1,3,2,"H0,H1"
S=S6_A=A_F=F1_L=L1_seed=4,S6,A,F1,L1,4,2,"H0,H1"
S=S6_A=A_F=F1_L=L2_seed=1,S6,A,F1,L2,1,2,"H0,H1"
S=S6_A=A_F=F1_L=L2_seed=2,S6,A,F1,L2,2,2,"H0,H1"
S=S6_A=A_F=F1_L=L2_seed=3,S6,A,F1,L2,3,2,"H0,H1"
S=S6_A=A_F=F1_L=L2_seed=4,S6,A,F1,L2,4,2,"H0,H1"
S=S6_A=A_F=F2_L=L1_seed=1,S6,A,F2,L1,1,2,"H0,H2"
S=S6_A=A_F=F2_L=L1_seed=2,S6,A,F2,L1,2,2,"H0,H2"
S=S6_A=A_F=F2_L=L1_seed=3,S6,A,F2,L1,3,2,"H0,H2"
S=S6_A=A_F=F2_L=L1_seed=4,S6,A,F2,L1,4,2,"H0,H2"
S=S6_A=A_F=F2_L=L2_seed=1,S6,A,F2,L2,1,2,"H0,H2"
S=S6_A=A_F=F2_L=L2_seed=2,S6,A,F2,L2,2,2,"H0,H2"
S=S6_A=A_F=F2_L=L2_seed=3,S6,A,F2,L2,3,2,"H0,H2"
S=S6_A=A_F=F2_L=L2_seed=4,S6,A,F2,L2,4,2,"H0,H2"
S=S6_A=A_F=F3_L=L1_seed=1,S6,A,F3,L1,1,2,"H0,H3"
S=S6_A=A_F=F3_L=L1_seed=2,S6,A,F3,L1,2,2,"H0,H3"
S=S6_A=A_F=F3_L=L1_seed=3,S6,A,F3,L1,3,2,"H0,H3"
S=S6_A=A_F=F3_L=L1_seed=4,S6,A,F3,L1,4,2,"H0,H3"
S=S6_A=A_F=F3_L=L2_seed=1,S6,A,F3,L2,1,2,"H0,H3"
S=S6_A=A_F=F3_L=L2_seed=2,S6,A,F3,L2,2,2,"H0,H3"
S=S6_A=A_F=F3_L=L2_seed=3,S6,A,F3,L2,3,2,"H0,H3"
S=S6_A=A_F=F3_L=L2_seed=4,S6,A,F3,L2,4,2,"H0,H3"
S=S6_A=A_F=F4_L=L1_seed=1,S6,A,F4,L1,1,2,"H0,H4"
S=S6_A=A_F=F4_L=L1_seed=2,S6,A,F4,L1,2,2,"H0,H4"
S=S6_A=A_F=F4_L=L1_seed=3,S6,A,F4,L1,3,2,"H0,H4"
S=S6_A=A_F=F4_L=L1_seed=4,S6,A,F4,L1,4,2,"H0,H4"
S=S6_A=A_F=F4_L=L2_seed=1,S6,A,F4,L2,1,2,"H0,H4"
S=S6_A=A_F=F4_L=L2_seed=2,S6,A,F4,L2,2,2,"H0,H4"
S=S6_A=A_F=F4_L=L2_seed=3,S6,A,F4,L2,3,2,"H0,H4"
S=S6_A=A_F=F4_L=L2_seed=4,S6,A,F4,L2,4,2,"H0,H4"
S=S6_A=B_F=F0_L=L1_seed=1,S6,B,F0,L1,1,1,H0
S=S6_A=B_F=F0_L=L1_seed=2,S6,B,F0,L1,2,1,H0
S=S6_A=B_F=F0_L=L1_seed=3,S6,B,F0,L1,3,1,H0
S=S6_A=B_F=F0_L=L1_seed=4,S6,B,F0,L1,4,1,H0
S=S6_A=B_F=F0_L=L2_seed=1,S6,B,F0,L2,1,1,H0
S=S6_A=B_F=F0_L=L2_seed=2,S6,B,F0,L2,2,1,H0
S=S6_A=B_F=F0_L=L2_seed=3,S6,B,F0,L2,3,1,H0
S=S6_A=B_F=F0_L=L2_seed=4,S6,B,F0,L2,4,1,H0
S=S6_A=B_F=F1_L=L1_seed=1,S6,B,F1,L1,1,2,"H0,H1"
S=S6_A=B_F=F1_L=L1_seed=2,S6,B,F1,L1,2,2,"H0,H1"
S=S6_A=B_F=F1_L=L1_seed=3,S6,B,F1,L1,3,2,"H0,H1"
S=S6_A=B_F=F1_L=L1_seed=4,S6,B,F1,L1,4,2,"H0,H1"
S=S6_A=B_F=F1_L=L2_seed=1,S6,B,F1,L2,1,2,"H0,H1"
S=S6_A=B_F=F1_L=L2_seed=2,S6,B,F1,L2,2,2,"H0,H1"
S=S6_A=B_F=F1_L=L2_seed=3,S6,B,F1,L2,3,2,"H0,H1"
S=S6_A=B_F=F1_L=L2_seed=4,S6,B,F1,L2,4,2,"H0,H1"
S=S6_A=B_F=F2_L=L1_seed=1,S6,B,F2,L1,1,2,"H0,H2"
S=S6_A=B_F=F2_L=L1_seed=2,S6,B,F2,L1,2,2,"H0,H2"
S=S6_A=B_F=F2_L=L1_seed=3,S6,B,F2,L1,3,2,"H0,H2"
S=S6_A=B_F=F2_L=L1_seed=4,S6,B,F2,L1,4,2,"H0,H2"
S=S6_A=B_F=F2_L=L2_seed=1,S6,B,F2,L2,1,2,"H0,H2"
S=S6_A=B_F=F2_L=L2_seed=2,S6,B,F2,L2,2,2,"H0,H2"
S=S6_A=B_F=F2_L=L2_seed=3,S6,B,F2,L2,3,2,"H0,H2"
S=S6_A=B_F=F2_L=L2_seed=4,S6,B,F2,L2,4,2,"H0,H2"
S=S6_A=B_F=F3_L=L1_seed=1,S6,B,F3,L1,1,2,"H0,H3"
S=S6_A=B_F=F3_L=L1_seed=2,S6,B,F3,L1,2,2,"H0,H3"
S=S6_A=B_F=F3_L=L1_seed=3,S6,B,F3,L1,3,2,"H0,H3"
S=S6_A=B_F=F3_L=L1_seed=4,S6,B,F3,L1,4,2,"H0,H3"
S=S6_A=B_F=F3_L=L2_seed=1,S6,B,F3,L2,1,2,"H0,H3"
S=S6_A=B_F=F3_L=L2_seed=2,S6,B,F3,L2,2,2,"H0,H3"
S=S6_A=B_F=F3_L=L2_seed=3,S6,B,F3,L2,3,2,"H0,H3"
S=S6_A=B_F=F3_L=L2_seed=4,S6,B,F3,L2,4,2,"H0,H3"
S=S6_A=B_F=F4_L=L1_seed=1,S6,B,F4,L1,1,2,"H0,H4"
S=S6_A=B_F=F4_L=L1_seed=2,S6,B,F4,L1,2,2,"H0,H4"
S=S6_A=B_F=F4_L=L1_seed=3,S6,B,F4,L1,3,2,"H0,H4"
S=S6_A=B_F=F4_L=L1_seed=4,S6,B,F4,L1,4,2,"H0,H4"
S=S6_A=B_F=F4_L=L2_seed=1,S6,B,F4,L2,1,2,"H0,H4"
S=S6_A=B_F=F4_L=L2_seed=2,S6,B,F4,L2,2,2,"H0,H4"
S=S6_A=B_F=F4_L=L2_seed=3,S6,B,F4,L2,3,2,"H0,H4"
S=S6_A=B_F=F4_L=L2_seed=4,S6,B,F4,L2,4,2,"H0,H4"
S=S7_A=A_F=F0_L=L1_seed=1,S7,A,F0,L1,1,1,H0
S=S7_A=A_F=F0_L=L2_seed=1,S7,A,F0,L2,1,1,H0
S=S7_A=A_F=F1_L=L1_seed=1,S7,A,F1,L1,1,1,H1
S=S7_A=A_F=F1_L=L2_seed=1,S7,A,F1,L2,1,1,H1
S=S7_A=A_F=F4_L=L1_seed=1,S7,A,F4,L1,1,1,H4
S=S7_A=A_F=F4_L=L2_seed=1,S7,A,F4,L2,1,1,H4
S=S7_A=B_F=F0_L=L1_seed=1,S7,B,F0,L1,1,1,H0
S=S7_A=B_F=F0_L=L2_seed=1,S7,B,F0,L2,1,1,H0
S=S7_A=B_F=F1_L=L1_seed=1,S7,B,F1,L1,1,1,H1
S=S7_A=B_F=F1_L=L2_seed=1,S7,B,F1,L2,1,1,H1
S=S7_A=B_F=F4_L=L1_seed=1,S7,B,F4,L1,1,1,H4
S=S7_A=B_F=F4_L=L2_seed=1,S7,B,F4,L2,1,1,H4
S=S8_A=A_F=F0_L=L1_seed=1,S8,A,F0,L1,1,1,H0
S=S8_A=A_F=F0_L=L2_seed=1,S8,A,F0,L2,1,1,H0
S=S8_A=A_F=F1_L=L1_seed=1,S8,A,F1,L1,1,2,"H0,H1"
S=S8_A=A_F=F1_L=L1_seed=2,S8,A,F1,L1,2,2,"H0,H1"
S=S8_A=A_F=F1_L=L2_seed=1,S8,A,F1,L2,1,2,"H0,H1"
S=S8_A=A_F=F1_L=L2_seed=2,S8,A,F1,L2,2,2,"H0,H1"
S=S8_A=A_F=F2_L=L1_seed=1,S8,A,F2,L1,1,2,"H0,H2"
S=S8_A=A_F=F2_L=L1_seed=2,S8,A,F2,L1,2,2,"H0,H2"
S=S8_A=A_F=F2_L=L2_seed=1,S8,A,F2,L2,1,2,"H0,H2"
S=S8_A=A_F=F2_L=L2_seed=2,S8,A,F2,L2,2,2,"H0,H2"
S=S8_A=A_F=F3_L=L1_seed=1,S8,A,F3,L1,1,2,"H0,H3"
S=S8_A=A_F=F3_L=L1_seed=2,S8,A,F3,L1,2,2,"H0,H3"
S=S8_A=A_F=F3_L=L2_seed=1,S8,A,F3,L2,1,2,"H0,H3"
S=S8_A=A_F=F3_L=L2_seed=2,S8,A,F3,L2,2,2,"H0,H3"
S=S8_A=A_F=F4_L=L1_seed=1,S8,A,F4,L1,1,2,"H0,H4"
S=S8_A=A_F=F4_L=L1_seed=2,S8,A,F4,L1,2,2,"H0,H4"
S=S8_A=A_F=F4_L=L2_seed=1,S8,A,F4,L2,1,2,"H0,H4"
S=S8_A=A_F=F4_L=L2_seed=2,S8,A,F4,L2,2,2,"H0,H4"
S=S8_A=B_F=F0_L=L1_seed=1,S8,B,F0,L1,1,1,H0
S=S8_A=B_F=F0_L=L2_seed=1,S8,B,F0,L2,1,1,H0
S=S8_A=B_F=F1_L=L1_seed=1,S8,B,F1,L1,1,2,"H0,H1"
S=S8_A=B_F=F1_L=L1_seed=2,S8,B,F1,L1,2,2,"H0,H1"
S=S8_A=B_F=F1_L=L2_seed=1,S8,B,F1,L2,1,2,"H0,H1"
S=S8_A=B_F=F1_L=L2_seed=2,S8,B,F1,L2,2,2,"H0,H1"
S=S8_A=B_F=F2_L=L1_seed=1,S8,B,F2,L1,1,2,"H0,H2"
S=S8_A=B_F=F2_L=L1_seed=2,S8,B,F2,L1,2,2,"H0,H2"
S=S8_A=B_F=F2_L=L2_seed=1,S8,B,F2,L2,1,2,"H0,H2"
S=S8_A=B_F=F2_L=L2_seed=2,S8,B,F2,L2,2,2,"H0,H2"
S=S8_A=B_F=F3_L=L1_seed=1,S8,B,F3,L1,1,2,"H0,H3"
S=S8_A=B_F=F3_L=L1_seed=2,S8,B,F3,L1,2,2,"H0,H3"
S=S8_A=B_F=F3_L=L2_seed=1,S8,B,F3,L2,1,2,"H0,H3"
S=S8_A=B_F=F3_L=L2_seed=2,S8,B,F3,L2,2,2,"H0,H3"
S=S8_A=B_F=F4_L=L1_seed=1,S8,B,F4,L1,1,2,"H0,H4"
S=S8_A=B_F=F4_L=L1_seed=2,S8,B,F4,L1,2,2,"H0,H4"
S=S8_A=B_F=F4_L=L2_seed=1,S8,B,F4,L2,1,2,"H0,H4"
S=S8_A=B_F=F4_L=L2_seed=2,S8,B,F4,L2,2,2,"H0,H4"
S=S9_A=A_F=F0_L=L1_seed=1,S9,A,F0,L1,1,1,H0
S=S9_A=A_F=F0_L=L2_seed=1,S9,A,F0,L2,1,1,H0
S=S9_A=A_F=F1_L=L1_seed=1,S9,A,F1,L1,1,2,"H0,H1"
S=S9_A=A_F=F1_L=L1_seed=2,S9,A,F1,L1,2,2,"H0,H1"
S=S9_A=A_F=F1_L=L2_seed=1,S9,A,F1,L2,1,2,"H0,H1"
S=S9_A=A_F=F1_L=L2_seed=2,S9,A,F1,L2,2,2,"H0,H1"
